objectid,filename,image_small,image_thumb,title,creator,publisher,date,description,subject,location,congress,symposium,newspaper,journal,volume,issue,pages,doi,issn,thesis,university,faculty,format,language,rights,access
report001,report001.pdf,,,Sand and Sustainability: Finding New Solutions for Environmental Governance of Global Sand Resources,,Programa de las Naciones Unidas Para el Medio Ambiente,07-05-2019,"Este nuevo informe sensibiliza sobre los desafíos y soluciones de sostenibilidad para la extracción y el consumo de arena, recomendando acciones conjuntas para actualizar los estándares existentes, los programas de monitoreo e iniciar diálogos a lo largo de la cadena de valor de la arena. El informe fue elaborado a través del diálogo de expertos en una mesa de trabajo realizada en octubre de 2018, facilitada por UNEP/GRID-Geneva y la Universidad de Ginebra, y financiada por la Oficina Federal del Medio Ambiente de Suiza.",biodiversidad; minería de arena; actividades extractivas; impactos ambientales; consumismo; propuestas,Global,,,,,,,,,,,,,application/pdf,Inglés,,https://unepgrid.ch/en/resource/2AD54533
report002,report002.pdf,,,Sand and Sustainability: 10 Strategic Recommendations to Avert a Crisis,,Programa de las Naciones Unidas Para el Medio Ambiente,26-04-2022,"La arena desempeña un papel estratégico en la prestación de servicios ecosistémicos, infraestructura vital para el desarrollo económico, el sustento de las comunidades y el mantenimiento de la biodiversidad. Está vinculada directa o indirectamente con los 17 Objetivos de Desarrollo Sostenible (ODS). A pesar de la importancia estratégica de la arena, su extracción, obtención, uso y gestión siguen estando en gran medida no regulados en muchas regiones del mundo, lo que genera numerosas consecuencias ambientales y sociales que se han pasado por alto en gran medida.

En la UNEA 4, el primer informe Sand and Sustainability (PNUMA 2019) creó conciencia sobre esta problemática. A pesar de que la arena es el material sólido más utilizado (50 mil millones de toneladas al año), la atención global sobre la magnitud real y el impacto de su extracción sigue siendo limitada. La Resolución 19 de la UNEA 4 sobre Gobernanza de los Recursos Minerales solicitó al PNUMA que elaborara un nuevo informe sobre esta cuestión.

Por lo tanto, ""Arena y sostenibilidad: 10 recomendaciones estratégicas para evitar una crisis"" consolida la experiencia en materia de arena y sostenibilidad de diferentes sectores para llamar la atención sobre los impactos del estado actual de extracción, uso y (mala) gestión, planteando recomendaciones de acción para establecer la agenda global de la arena abordando las necesidades de sostenibilidad ambiental junto con consideraciones de justicia, equidad, técnicas, económicas y políticas.",minería de arena; impactos ambientales; estrategias; prácticas sostenibles; justicia ambiental; sostenibilidad ambiental; restauración de ecosistemas,Global,,,,,,,,,,,,,application/pdf,Inglés,,https://unepgrid.ch/en/resource/2022SAND
paper025,paper025.pdf,,,Sustainability of the global sand system in the Anthropocene,"Torres, Aurora; Simoni, Mark; Keiding, Jakob; Müller, Daniel; zu Ermgassen, Sophus; Liu, Jianguo; Jaeger, Jochen; Winter, Marten; Lambin, Eric",,21-05-2021,"La arena, la grava y la piedra triturada, denominadas en conjunto agregados para la construcción, son los materiales sólidos más extraídos. La creciente demanda está dañando los ecosistemas, desencadenando conflictos sociales y avivando la preocupación por la escasez de arena. Equilibrar los esfuerzos de protección y la extracción para satisfacer las necesidades de la sociedad requiere diseñar vías sostenibles a nivel sistémico. Aquí presentamos una perspectiva sobre la sostenibilidad global de la arena que desplaza el enfoque desde el sitio de minería hacia toda la red de suministro de arena (SSN, por sus siglas en inglés) de una región entendida como un sistema socio-ecológico acoplado cuya columna vertebral es el sistema físico de los agregados de construcción. Introducimos la idea de las transiciones en la producción de arena, desde la minería de subsistencia hacia sistemas de suministro regional a mayor escala que incluyen megacanteras de piedra triturada, dragado marino y materiales secundarios reciclados. 

Discutimos las afirmaciones sobre una inminente escasez global de arena, evaluamos si las nuevas fronteras mineras como Groenlandia podrían aliviarla y destacamos tres campos de acción para promover un sistema global de la arena que sea sostenible.",minería de arena; minerales de construcción; relación humano-naturaleza; uso del suelo; antropoceno; metabolismo socioeconómico; impactos ambientales; transición sostenible,Global,,,,One Earth,4,5,639-650,https://doi.org/10.1016/j.oneear.2021.04.011,,,,,application/pdf,Inglés,Creative Commons. CC BY 4.0,
paper026,https://www.sciencedirect.com/science/article/pii/S2590332221004097,portadap026.png,portadap026.png,"Sand, gravel, and UN Sustainable Development Goals: Conflicts, synergies, and pathways forward","Bendixen, Mette; Iversen, Lars; Best, Jim; Franks, Daniel; Hackney, Christopher; Latrubesse, Edgardo; Tusting, Lucy",,20-08-2021,"La extracción masiva de agregados (arena, grava y roca triturada) es fundamental para la infraestructura global y el sustento económico en países de ingresos bajos y medios, pero genera graves impactos ambientales como la alteración hidrológica, la erosión y la degradación de ecosistemas. Estas dinámicas extractivas presentan importantes dilemas frente a las metas globales de sostenibilidad.

El estudio analiza la relación contradictoria de la minería de agregados con los Objetivos de Desarrollo Sostenible de la ONU. Mientras impulsa la economía y reduce la pobreza, amenaza ecosistemas acuáticos y terrestres, la salud pública y la estabilidad ambiental, destacando la necesidad de implementar una gestión circular, mejor monitoreo y alternativas sostenibles.",minería de arena; minería informal; minería ilegal; economía circular; gobernanza ambieintal; ODS,Global,,,,One Earth,4,8,1095-1111,https://doi.org/10.1016/j.oneear.2021.07.008,,,,,record,Inglés,Copyright (C) 2021 Elsevier Inc. All Rights Reserved ,
report003,https://unhabitat.org/sites/default/files/2024/04/ore_sand_1.pdf,portadar003.png,portadar003.png,Ore Sand: A Circular Economy Solution to the Mine Tailings and Global Sand Sustainability Crises,,UN Secretary-General’s Advisory Board on Zero Waste,2024,"Este caso de estudio examina la producción de ""ore-sand"" (arena de mineral) como un subproducto derivado del procesamiento de minerales metálicos para reemplazar la extracción de arena natural y reducir los desechos de relaves. La iniciativa busca transformar los residuos mineros peligrosos en materiales sostenibles aptos para el sector de la construcción, tales como la fabricación de ladrillos, concreto y subbases de carreteras.  

Al optimizar el procesamiento mineral, el proyecto aborda los riesgos ambientales y sociales asociados a las presas de relaves, previniendo la contaminación de fuentes hídricas y el deterioro de hábitats. Asimismo, promueve un enfoque de economía circular mediante la colaboración entre empresas mineras, entidades gubernamentales y universidades para verificar la viabilidad técnica y fomentar la sostenibilidad operacional a nivel global.",arena de mineral; relaves mineros; materiales de construcción; procesamiento de minerales,Brasil,,,,,,,,,,,,,record,Inglés,Copyright (C) 2024 United Nations Secretary-General’s Advisory Board on Zero Waste. All Rights Reserved ,https://unhabitat.org/sites/default/files/2024/04/ore_sand_1.pdf
paper027,paper027.pdf,,,Nueva arquitectura tradicional a bajo consumo de energía en la Amazonía peruana,"Gilles, Pierre; Ríos, Alberto; Nevado, Néstor; Gilles, Sylvain",,14-12-2021,"Este estudio evalúa la construcción de una vivienda-taller en Iquitos que rescata el valor constructivo de la madera frente al uso predominante de materiales pesados como el concreto y el ladrillo. El diseño se basa en la tipología tradicional de la maloca amazónica, priorizando estructuras elevadas y espacios abiertos que aprovechan la circulación constante del aire para evitar la acumulación de calor.  

La edificación demostró que la ventilación pasiva y la arquitectura bioclimática reducen drásticamente el consumo energético en zonas de clima ecuatorial. Además de ofrecer resistencia sísmica y durabilidad térmica, el proyecto integró soluciones de autosuficiencia hídrica que fomentaron dinámicas de cooperación e integración con la comunidad local.",arquitectura sostenible; aislamiento térmico; eficiencia energética; autonomía hídrica; maloca amazónica; Amazonía; calentamiento global,Perú,,,,Limaq,8,8,113-126,https://doi.org/10.26439/limaq2021.n008.5554,2410-6127,,,,application/pdf,Español,Creative Commons. CC BY 4.0,
paper028,paper028.pdf,,,Amazonian White-Sand Forest: A Black Future?,"De Oñate, Ruth; San Miguel, Alfonso;; Orensanz, Juan; Salazar, Angel; Roig, Sonia",,2013,"Los bosques sobre arena blanca amazónicos son un tipo singular y frágil de bosque tropical húmedo de selva de zonas bajas, que aparecen dispersos sobre teselas de suelo muy oligotrófico y albergan un alto porcentaje de endemismos. No son susceptibles de aprovechamiento maderero ni de uso agrícola, pero su madera redonda de pequeño diámetro (5-15 cm) posee gran durabilidad y es un recurso extraído tradicionalmente por los pobladores locales para construir sus viviendas. A pesar de ello, este aprovechamiento local permanece invisible para la reglamentación forestal, lo que puede perjudicar el futuro de estos bosques sobre arena blanca. Este trabajo tiene por objetivo aportar conocimientos básicos sobre la estructura forestal y la composición florística de estos bosques, lo que es esencial para poder planificar un gestión sustentable.  

Los resultados muestran que, a pesar de su fragilidad, los bosques sobre arena blanca también presentan ciertas ventajas en vista de sus posibilidades de gestión sustentable en comparación con otro tipo de bosques tropicales húmedos: debido a un alto porcentaje de especies comerciales (26 %), a la clara dominancia de un pequeño grupo de especies, la mayoría de ellas (67%) con interés comercial y al hecho de que los fustes potencialmente aprovechables sólo suponen el diecisiete porciento de la área basimétrica total, resulta que en la situación actual, no es necesario aplicar técnicas de aprovechamiento de impacto reducido, puesto que los pies aprovechados son de pequeño diámetro, que no se utiliza maquinaria y que el transporte se realiza únicamente a hombros y/o por flotación.",bosque sobre arena blanca; madera redonda; biodiversidad; bosque tropical; madera de varillal; estructura forestal,Perú,,,,Bois et Forêts des Tropiques,,315,63-72,,,,,,application/pdf,Español,Creative Commons. CC BY 4.0,https://www2.montes.upm.es/Dptos/Dsrn/SanMiguel/PUBLICACIONES/2011-2015/2013_O%C3%B1ate_etal_2013_Amazonian%20White%20sand%20forests_BFT.pdf
paper029,paper029.pdf,,,"Mapeo de los bosques tipo varillal utilizando imágenes de satélite RapidEye en la provincia Maynas, Loreto, Perú","Palacios, Juan; Zárate, Ricardo; Torres, Guiuseppe; Denux, Jean; Maco, José; Gallardo, George; Mori, Tony; Rengifo, Jhon; Jarama, Anita; Marín, María; García, Franco; Cuadros, Angela",Instituto de Investigaciones de la Amazonía Peruana,09-06-2016,"Los bosques tipo varillal albergan una diversidad biológica endémica y varias especies monodominantes, cuando estos bosques se ubican en los pantanos acumulan gran cantidad de carbono en el suelo. El objetivo del presente estudio fue elaborar el mapa de distribución espacial de los varillales sobre arena blanca y sobre pantano en la provincia Maynas, Loreto, a escala 1/100,000, utilizando imágenes de satélite RapidEye y aplicando el algoritmo clasificador de Máxima Verosimilitud (MVS) en el programa ArcGIS versión 10.1. Usamos siete categorías de clasificación en tres escenas RapidEye y definimos las firmas espectrales respectivas basadas en 32 áreas de entrenamiento de muestreo en campo. Se clasificaron las 206 escenas restantes utilizando el algoritmo MVS. El mapa fue validado utilizando 57 puntos de control entre varillales y otros tipos de bosque. Se determinaron 51,025 ha de varillales que representan 0.67% de la superficie de la provincia Maynas, distribuidas principalmente entre las cuencas de los ríos Napo y Nanay y entre la ciudad de Iquitos y la boca del Río Amazonas. 

Obtuvimos un 91.2% de exactitud en la clasificación de los varillales. Las bandas borde rojo (BR) e ifrarrojo cercano (IRC) de las imágenes RapidEye diferenciaron mejor los varillales de los otros bosques. Se reportan nuevas áreas de bosque de varillales sobre arena blanca y pantanos. En conclusión, las imágenes RapidEye son útiles para clasificar y diferenciar los varillales de otros tipos de bosque, siendo el mapa de los varillales útil para la exploración de nuevos sitios en el estudio de almacenamiento de carbono en el suelo.",bosques sobre arena blanca; RapidEye; SIG; teledetección; varillal hidromórfico,Perú,,,,Folia Amazónica,25,1,25-36,https://doi.org/10.24841/fa.v25i1.380,,,,,application/pdf,Español,Creative Commons. CC BY 4.0,
paper030,paper030.pdf,,,"Estructura y composición florística de las comunidades vegetales del ambito de la carretera Iquitos-Nauta, Loreto, Perú","Zárate, Ricardo; Mori, Tony; Maco, José",Instituto de Investigaciones de la Amazonía Peruana,06-12-2013,"Se ejecutaron una serie de inventarios para determinar la estructura y composición florística de los tipos de vegetación en las áreas adyacentes a la carretera Iquitos -Nauta, Loreto, Perú. La estructura corresponde a bosques, arbustales, palmerales y herbazales. Las especies más abundantes son: Pachira brevipes (1017 ind. 10,73%), Tessaria integrifolia (253 ind. 2,67%), Montrichardia arborescens (158 ind. 1,67%), Eschweilera coriacea (154 ind. 1,62%), Virola pavonis (135 ind. 1,42%), entre otras. Se encontraron, además, once especies endémicas y doce amenazadas. Se reportan 24 comunidades vegetales, siendo las  más importantes, de acuerdo a su extensión, los bosques de colinas ligeramente disectadas y los bosques de colinas fuertemente disectadas. 

Las comunidades vegetales más peculiares son los varillales sobre pantanos y los varillales sobre arena blanca. El área de  estudio presenta una alta cantidad de especies y comunidades vegetales.",bosques sobre arena blanca; composición florística; estructura florística; vegetación,Perú,,,,Folia Amazónica,22,1-2,77-89,https://doi.org/10.24841/fa.v22i1-2.50,,,,,application/pdf,Español,Creative Commons. CC BY 4.0,
paper031,paper031.pdf,,,Estudio preliminar de la macrofauna del suelo en áreas de varillales y chamizales de la Amazonía peruana,"Tapia-Coral, Sandra; Pashanasi, Beto; Del Castillo, Dennis",Instituto de Investigaciones de la Amazonía Peruana,01-12-2002,"La densidad (individuos/m2) y biomasa (g de peso fresco/m2) de la macrofauna del suelo, fueron estudiadas en las áreas de varillales y chamizales de una parte de la Amazonía peruana. El estudio fue desarrollado en el Centro de Investigaciones de Jenaro Herrera (CIJH), 200 km sur oeste de la ciudad de Iquitos, en la margen derecha del río Ucayali, y en la Zona Reservada Allpahuayo-Mishana, situada en el km 29 de la carretera Iquitos-Nauta.  

El método de muestreo utilizado fue recomendado por el Programa «Tropical Soil Biology and Fertility» (TSBF), y se realizó en los meses de marzo (época lluviosa) y setiembre (época de menos lluvias) del 2001. En cada sistema se colectaron 3 muestras, a un intervalo de 5 metros a lo largo de una línea recta cuyo origen y dirección fue escogido al azar, y la macrofauna fue separada en forma manual en monolitos de 25 cm x 25 cm x 30 cm.  

En los varillales del CIJH se encontró una densidad poblacional de 1 611 a 2 781 individuos/m2 y una biomasa de 30.3 a 42.7 g peso fresco/m2 en la época lluviosa y menos lluviosa, respectivamente. En la Zona Reservada de Allpahuayo-Mishana, la densidad fue de 10 209 individuos/m2 en la época lluviosa, y 768 individuos/m2 en la época menos lluviosa. La biomasa tuvo un rango de 236.9 a 96.2 g de peso fresco/m2 en las dos épocas de muestreo.  

La densidad poblacional en los chamizales de Allpahuayo-Mishana fueron de 670 a 1 179 individuos/m2 y una biomasa de 31.5 a 100.0 g de peso fresco/m2 en la época lluviosa y menos lluviosa, respectivamente. En el CIJH se encontró una densidad de 1 728 a 4 205 individuos/m2 y la biomasa estuvo en un rango de 31.3 a 42.0 g de peso fresco/m2, en las mismas épocas de muestreo.",macrofauna; varillal; chamizal; bosque sobre arena blanca; densidad; biomasa; suelo,Perú,,,,Folia Amazónica,13,1-2,65-86,https://doi.org/10.24841/fa.v13i1-2.138,,,,,application/pdf,Español,Creative Commons. CC BY 4.0,
mapa01,https://cedia.org.pe/mapa-de-varillales-de-loreto-nuevo-instrumento-para-el-proceso-ordenamiento-territorial-de-la-region/,portadam01.png,portadam01.png,"Mapa de Varillales de Loreto, nuevo instrumento para el proceso ordenamiento territorial de la región",,Centro para el Desarollo del Indígena Amazónico,27-11-2020,"La memoria descriptiva y el mapa de Varillales del departamento de Loreto se realizó, de manera conjunta, con la Dirección Ejecutiva de Conservación y Diversidad Biológica (DECDB) de la Autoridad Regional Ambiental (ARA), con el Gobierno Regional de Loreto, con el Centro para el Desarrollo del Indígena Amazónico (CEDIA) y con el Instituto de Investigaciones de la Amazonía Peruana (IIAP). Ello, a través de distintas metodologías, como el uso de sensores remotos, SIG y trabajo de campo. Así, la Ordenanza Regional N° 031-2018-GRL-CR aprobó el referido mapa, considerando que la superficie aproximada de este bosque representa 457439.69 ha de la región Loreto. ",bosque sobre arena blanca; varillales; mapas; SIG,Perú,,,,,,,,,,,,,record,Español,,https://cedia.org.pe/mapa-de-varillales-de-loreto-nuevo-instrumento-para-el-proceso-ordenamiento-territorial-de-la-region/
foto01,foto01.png,,,El Barrio de las Lavanderas,Desconocido,,1900,"La fotografía muestra el conocido Barrio de las Lavanderas durante los primero años de 1900. Se encontraba ubicado en la actual plaza 28 de Julio, cuando el lugar aún mantenía un suelo de arena blanca y ojos de agua utilizados por las lavanderas para ejecutar su labor. ",bosques sobre arena blanca; varillales; Iquitos; historia,Perú,,,,,,,,,,,,,image/png,,,
